floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,flat_id
2,6,3,131.1,110000000,Тверской, Малая Дмитровка,23/15С2,Пушкинская,308338964
7,9,3,80.1,73500000,Тверской,Тверская ,15,Тверская,314604994
11,41,3,115.0,115000000,Хорошевский,Ленинградский проспект,37/4,ЦСКА,314636162
9,9,3,80.0,42000000,Фили-Давыдково, Ивана Франко,6,Кунцевская,316412702
31,38,3,75.5,42000000,Строгино, Маршала Катукова,24к1,Строгино,316201248
10,41,3,71.0,49900000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,316158779
11,16,3,64.9,18600000,Нагорный,Варшавское шоссе,70К2,Варшавская,316571003
10,34,3,102.6,109990000,Дорогомилово,Поклонная ,9,Поклонная,316594308
23,32,3,83.6,76076000,Дорогомилово,Поклонная ,9,Поклонная,316710005
1,10,3,119.0,140000000,Дорогомилово, Братьев Фонченко,1к7,Парк Победы,316610259
1,11,3,144.0,187000000,Дорогомилово, Братьев Фонченко,1к4,Парк Победы,316610258
10,11,3,60.0,60000000,Якиманка, Серафимовича,2,Боровицкая,309775039
13,32,3,86.7,90000000,Дорогомилово,Поклонная ,9,Поклонная,310334461
14,20,3,132.5,125000000,Гагаринский, Косыгина,13к1,Воробьёвы горы,305062348
21,27,3,85.0,58200000,Хорошево-Мневники,Шелепихинская набережная,42к2,Полежаевская,316714563
6,12,3,120.9,72200000,Мещанский,Протопоповский переулок,17С2,Проспект Мира,308136515
22,32,3,83.6,75240000,Дорогомилово,Поклонная ,9,Поклонная,315641180
5,5,3,85.0,31000000,Пресненский,Шмитовский проезд,15/5,Москва-Сити,315963598
9,29,3,65.5,31000000,Фили-Давыдково, Ивана Франко,6,Кунцевская,314773512
7,9,3,135.0,166000000,Замоскворечье, Бахрушина,13,Павелецкая,316371474
2,12,3,62.1,13000000,Ярославский,Ярославское шоссе,8К2,Ботанический сад,315864064
7,16,3,173.1,148000000,Арбат,1-й Смоленский переулок,17,Смоленская,316267230
5,10,3,131.0,131000000,Тверской,Большая Грузинская ,69,Белорусская,315549778
12,18,3,105.0,43500000,Кунцево,Ельнинская ,11К3,Молодёжная,316207686
6,8,3,53.6,29500000,Пресненский,Большая Грузинская ,62,Белорусская,312367625
8,15,3,100.0,83000000,Раменки,Винницкая ,8к4,Раменки,316646834
4,5,3,62.0,25990000,Сокол,Новопесчаная ,11/6,Сокол,314699443
15,28,3,97.2,52550000,Раменки,Винницкая ,8к1,Раменки,316312662
40,42,3,66.0,46000000,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,313745975
18,48,3,124.0,49990000,Хорошево-Мневники,проспект Маршала Жукова,78,Серебряный Бор,311352185
27,41,3,79.0,71000000,Раменки,Парклэйн тер.,к2,Кутузовская,312468301
17,53,3,102.0,95000000,Раменки,Мосфильмовская ,8,Ломоносовский проспект,303267485
24,32,3,84.6,80990000,Дорогомилово,Поклонная ,9,Поклонная,315270194
2,9,1,26.6,7500000,Ивановское,Малый Купавенский проезд,5К1,Первомайская,316082933
8,9,1,35.0,25800000,Хамовники,Ростовская набережная,3,Смоленская,316499489
5,6,1,29.0,37000000,Хамовники,Зубовская ,7,Парк Культуры,315443321
4,22,1,44.5,17900000,Очаково-Матвеевское,Веерная ,22К2,Матвеевская,315881460
5,5,1,30.1,9999999,Перово, Плющева,16,Перово,315289988
6,40,1,40.49,21500000,Даниловский,бульвар Братьев Весниных,1,ЗИЛ,300863910
22,24,1,40.0,11600000,Бирюлево Восточное,6-я Радиальная ,7/1к2,Царицыно,309952150
3,19,1,37.5,7800000,Некрасовка,Рождественская ,21к2,Некрасовка,316325732
11,25,1,22.54,6500000,Тропарево-Никулино,Востряковское шоссе,7с6,Озёрная,314018129
11,28,1,32.0,18700000,Филевский парк, Василисы Кожиной,13,Парк Победы,315778606
11,18,1,39.1,10500000,Западное Дегунино, Ивана Сусанина,8К1,Моссельмаш,315459705
1,22,1,19.5,4150000,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,313373364
18,24,1,38.8,22600000,Хорошево-Мневники,Шелепихинская набережная,34к4,Шелепиха,315158477
3,29,1,57.0,35000000,Хорошево-Мневники,Шелепихинская набережная,40к3,Шелепиха,311314543
9,12,1,36.8,20000000,Тверской,2-я Брестская ,6,Маяковская,310068451
1,14,1,39.1,8500000,Ново-Переделкино,Боровское шоссе,37К3,Новопеределкино,312365979
11,21,1,41.5,39000000,Пресненский,Мантулинская ,9к2,Москва-Сити,316499109
16,24,1,39.0,13200000,Нагатино-Садовники,Нагатинская набережная,12,Коломенская,316679262
9,12,1,39.5,10250000,Лианозово,Новгородская ,34,Алтуфьево,301409960
14,48,1,42.0,25500000,Хорошево-Мневники, Народного Ополчения,15К1,Народное Ополчение,314947646
